routeNumber,stopId,sequence,travelTimeToNextStop
Route1,S005,1,4
Route1,S004,2,5
Route1,S001,3,3
Route1,S002,4,4
Route1,S003,5,6
Route1,S007,6,5
Route1,S008,7,0
Route2,S024,1,6
Route2,S010,2,4
Route2,S011,3,5
Route2,S012,4,4
Route2,S001,5,3
Route2,S023,6,4
Route2,S006,7,5
Route2,S003,8,0
Route3,S005,1,3
Route3,S029,2,4
Route3,S025,3,5
Route3,S028,4,3
Route3,S022,5,4
Route3,S001,6,3
Route3,S006,7,5
Route3,S021,8,0
Route4,S014,1,5
Route4,S015,2,4
Route4,S020,3,6
Route4,S013,4,4
Route4,S009,5,5
Route4,S007,6,4
Route4,S003,7,3
Route4,S002,8,0
Route5,S024,1,5
Route5,S010,2,7
Route5,S019,3,6
Route5,S016,4,5
Route5,S012,5,4
Route5,S027,6,3
Route5,S026,7,4
Route5,S001,8,0
Route6,S005,1,4
Route6,S004,2,3
Route6,S009,3,5
Route6,S030,4,4
Route6,S017,5,6
Route6,S018,6,0
Route7,S014,1,4
Route7,S020,2,5
Route7,S008,3,6
Route7,S007,4,3
Route7,S030,5,4
Route7,S009,6,5
Route7,S004,7,4
Route7,S005,8,0
Route8,S025,1,3
Route8,S029,2,4
Route8,S028,3,3
Route8,S022,4,4
Route8,S023,5,3
Route8,S002,6,4
Route8,S003,7,5
Route8,S021,8,0
Route9,S024,1,5
Route9,S011,2,4
Route9,S012,3,6
Route9,S027,4,3
Route9,S026,5,4
Route9,S022,6,3
Route9,S023,7,4
Route9,S006,8,5
Route9,S021,9,0
Route10,S016,1,6
Route10,S019,2,5
Route10,S010,3,4
Route10,S024,4,5
Route10,S011,5,4
Route10,S013,6,5
Route10,S015,7,4
Route10,S014,8,0
