stopId,name,zone
S001,MP Nagar,Central
S002,New Market,Central
S003,Arera Colony,Central
S004,Habibganj Railway Station,Central
S005,Bhopal Junction,Central
S006,TT Nagar,Central
S007,Shahpura,South
S008,Kolar Road,South
S009,Hoshangabad Road,South
S010,Bairagarh,North
S011,Karond,North
S012,Lalghati,North
S013,Bittan Market,East
S014,BHEL,East
S015,Govindpura,East
S016,Bag Sewania,West
S017,Mandideep,South
S018,Misrod,South
S019,Ayodhya Bypass,West
S020,Piplani,East
S021,Danish Nagar,Central
S022,Roshanpura,Central
S023,DB Mall,Central
S024,ISBT Bhopal,North
S025,Tajul Masajid,Central
S026,Kamla Park,Central
S027,Chetak Bridge,Central
S028,Jehangirabad,Central
S029,Peer Gate,Central
S030,Mata Mandir,South
